> LEITURA DE (NMOD)
1
> LEITURA DE (NEXP, NVENT, NVSAI) DO MODELO
15 1 1
> LEITURA DE (X1, X2, ..., Y1, VAR1, Y2, VAR2, ...)
 1.0000E+00, 3.37E+00, 1.00E+00
 1.0000E+00, 2.75E+00, 1.00E+00
 1.0000E+00, 5.12E+00, 1.00E+00
 3.3750E+00, 8.91E+00, 8.56E-01
 3.3750E+00, 7.00E+00, 8.56E-01
 3.3750E+00, 6.90E+00, 8.56E-01
 8.0000E+00, 8.20E+00, 1.58E+00
 8.0000E+00, 1.08E+01, 1.58E+00
 8.0000E+00, 8.11E+00, 1.58E+00
 1.5625E+01, 9.69E+00, 1.97E-01
 1.5625E+01, 1.07E+01, 1.97E-01
 1.5625E+01, 9.98E+00, 1.97E-01
 2.7000E+01, 1.07E+01, 4.01E-01
 2.7000E+01, 9.58E+00, 4.01E-01
 2.7000E+01, 9.18E+00, 4.01E-01
